"ID заявки";"ID клиента";"ProductID";"ShopID";"Год заявки";"Дата доставки";"Дата заявки";"Дата заявки (scale)";"Дата и время доставки";"Дата и время заявки";"Доставка (точка)";"Доставка - округ";"Доставка - район";"Доставка - тип";"Клиент";"Клиент - пол";"Клиент - статус";"Клиент- дата рождения";"Магазин";"Магазин (точка)";"Магазин - адрес";"Магазин - район";"Месяц заявки";"Продукт";"Продукт - бренд";"Продукт - категория";"Продукт - подкатегория";"Тип  оплаты";"Время доставки, дн.";"Продажа, ₽";"Скидка, ₽";"Среднее число продуктов в заказе";"Средний чек";"Число заявок";"Число клиентов";"Число магазинов"
2016-172353;7D2ih;prd-36;sp-21;2020;24.12.2020;20.12.2020;01.12.2020;24.12.2020 05:26:00;20.12.2020 19:14:00;[55.793029505,37.455691222];СЗАО;Щукино;Доставка;Авдеев Василий Геннадьевич;Мужчина;Серебряный;1977-09-25;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.12.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Наличные;3.425;516;0;2;516;1;1;1
2016-883053;jT1BW;prd-25;sp-23;2020;23.09.2020;13.09.2020;01.09.2020;23.09.2020 07:07:00;13.09.2020 12:22:00;[55.80772969,37.71153642];ВАО;Богородское;Доставка;Симонян Кристина Владиславовна;Женщина;Базовый;1989-02-19;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.09.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;9.78125;3664;0;5;3664;1;1;1
2016-853694;fHgO3;prd-28;sp-14;2020;09.01.1974;28.08.2020;01.08.2020;09.01.1974 06:08:00;28.08.2020 17:29:00;[55.741486816,37.603495437];ЦАО;Хамовники;Самовывоз;Василенко Виталий Владимирович;Мужчина;Серебряный;1995-03-09;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.08.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;"";2087;0;4;2087;1;1;1
2016-395000;9r4NM;prd-20;sp-11;2020;09.01.1974;27.12.2020;01.12.2020;09.01.1974 06:08:00;27.12.2020 19:21:00;[55.739009347,37.738169419];ЮВАО;Нижегородский;Самовывоз;Шерин Александр Николаевич;Мужчина;Золотой;1984-06-02;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.12.2020;Средство для чистки ванны "Белее белого";БиоДом;Бытовая химия;Чистящие средства;Наличные;"";303;0;5;303;1;1;1
2016-736346;2EaOH;prd-36;sp-16;2020;09.01.1974;20.10.2020;01.10.2020;09.01.1974 06:08:00;20.10.2020 23:33:00;[55.609162773,37.58302711];ЮАО;Чертаново Центральное;Самовывоз;Денисенко Станислав Владимирович;Мужчина;Базовый;1985-08-05;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";1030;0;2;1030;1;1;1
2016-538003;gt5ke;prd-25;sp-18;2020;09.01.1974;12.06.2020;01.06.2020;09.01.1974 06:08:00;12.06.2020 20:32:00;[55.711259468,37.882150339];ВАО;Косино-Ухтомский;Самовывоз;Глотов Владимир Сергеевич;Мужчина;Базовый;1995-09-03;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.06.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";3657;0;4;3657;1;1;1
2016-902429;WDJ8e;prd-40;sp-19;2020;09.01.1974;21.06.2020;01.06.2020;09.01.1974 06:08:00;21.06.2020 23:59:00;[55.917467971,37.386740951];САО;Молжаниновский;Самовывоз;Журавлев Алексей Александрович;Мужчина;Базовый;1972-03-11;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.06.2020;Зубная щетка электрическая;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";741;0;4;741;1;1;1
2016-136850;DIOTY;prd-34;sp-17;2020;13.04.2020;04.04.2020;01.04.2020;13.04.2020 00:49:00;04.04.2020 22:15:00;[55.598957264,37.71867781];ЮАО;Орехово-Борисово Южное;Доставка;Горохов Юрий Александрович;Мужчина;Золотой;1994-09-04;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.04.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Банковская карта;8.106944444444444;1020;0;3;1020;1;1;1
2016-815792;zfWee;prd-40;sp-14;2020;11.05.2020;07.05.2020;01.05.2020;11.05.2020 03:41:00;07.05.2020 18:34:00;[55.761605553,37.574959579];ЦАО;Пресненский;Доставка;Иванов Константин Германович;Мужчина;Базовый;1982-09-29;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.05.2020;Зубная щетка электрическая;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;3.379861111111111;737;0;4;737;1;1;1
2016-619736;Y9MYZ;prd-12;sp-14;2020;09.01.1974;20.11.2020;01.11.2020;09.01.1974 06:08:00;20.11.2020 19:24:00;[55.7817081,37.643110733];ЦАО;Мещанский;Самовывоз;Воротнев Вячеслав Александрович;Мужчина;Базовый;1975-10-19;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";480;0;3;480;1;1;1
2016-067133;DBhvV;prd-14;sp-15;2020;09.01.1974;27.07.2020;01.07.2020;09.01.1974 06:08:00;27.07.2020 11:52:00;[55.88967106,37.599430109];СВАО;Бибирево;Самовывоз;Русакова Елена Леонидовна;Женщина;Базовый;1994-09-01;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.07.2020;Средство для мытья посуды с ароматом лимона;Мойдодыр;Бытовая химия;Моющие средства;Банковская карта;"";355;0;2;355;1;1;1
2016-372409;eLu2z;prd-30;sp-14;2020;19.12.2020;15.12.2020;01.12.2020;19.12.2020 17:32:00;15.12.2020 17:51:00;[55.781596278,37.638230962];ЦАО;Мещанский;Доставка;Юнусова Юлия Фяритовна;Женщина;Базовый;1993-04-19;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.12.2020;Прикроватный коврик;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;3.9868055555555557;840;0;5;840;1;1;1
2016-983481;tmWY1;prd-26;sp-22;2020;09.01.1974;03.09.2020;01.09.2020;09.01.1974 06:08:00;03.09.2020 13:14:00;[55.60489382,37.514810265];ЮЗАО;Ясенево;Самовывоз;Очкин Михаил Вячеславович;Мужчина;Базовый;1982-10-18;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.09.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Наличные;"";315;0;2;315;1;1;1
2016-685851;0adWM;prd-26;sp-13;2020;18.06.2020;11.06.2020;01.06.2020;18.06.2020 23:02:00;11.06.2020 21:23:00;[55.732318192,37.422031973];ЗАО;Кунцево;Доставка;Идиетуллов Ильгиз Ирекович;Мужчина;Базовый;1974-04-13;Альфа;[55.724743484,37.422065222];город Москва, Гвардейская улица, дом 15, корпус 2;Можайский;01.06.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Наличные;7.06875;311;0;1;311;1;1;1
2016-756255;QcjeA;prd-15;sp-13;2020;15.04.2020;09.04.2020;01.04.2020;15.04.2020 07:55:00;09.04.2020 20:53:00;[55.773247326,37.689524714];ЦАО;Басманный;Доставка;Антонова Лидия Николаевна;Женщина;Серебряный;1980-02-06;Альфа;[55.724743484,37.422065222];город Москва, Гвардейская улица, дом 15, корпус 2;Можайский;01.04.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Наличные;5.459722222222222;137;0;3;137;1;1;1
2016-962136;p0xbM;prd-16;sp-19;2020;09.01.1974;04.10.2020;01.10.2020;09.01.1974 06:08:00;04.10.2020 23:32:00;[55.861991719,37.445207083];СЗАО;Северное Тушино;Самовывоз;Цветинская Наталья Анатольевна;Женщина;Базовый;1982-05-22;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.10.2020;Порошок для чистки плиты;БиоДом;Бытовая химия;Чистящие средства;Наличные;"";195;0;1;195;1;1;1
2016-449500;6NHda;prd-26;sp-16;2020;09.01.1974;26.11.2020;01.11.2020;09.01.1974 06:08:00;26.11.2020 23:00:00;[55.680263708,37.570602194];ЮЗАО;Академический;Самовывоз;Курочкин Денис Алексеевич;Мужчина;Базовый;1995-08-08;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.11.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Наличные;"";313;0;3;313;1;1;1
2016-171220;pG2bY;prd-15;sp-20;2020;09.01.1974;26.12.2020;01.12.2020;09.01.1974 06:08:00;26.12.2020 21:21:00;[55.566112661,37.582200647];ЮЗАО;Северное Бутово;Самовывоз;Мелкозёров Александр Александрович;Мужчина;Серебряный;1978-10-19;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.12.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Наличные;"";135;0;4;135;1;1;1
2016-103600;pTCNz;prd-34;sp-16;2020;09.01.1974;11.10.2020;01.10.2020;09.01.1974 06:08:00;11.10.2020 21:09:00;[55.646164254,37.614832422];ЮАО;Нагорный;Самовывоз;Ивченков Виталий Владимирович;Мужчина;Золотой;1985-04-24;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Банковская карта;"";1037;0;4;1037;1;1;1
2016-165745;3RSuP;prd-33;sp-22;2020;09.01.1974;27.06.2020;01.06.2020;09.01.1974 06:08:00;27.06.2020 18:35:00;[55.682386911,37.533273967];ЮЗАО;Ломоносовский;Самовывоз;Борщев Валерий Васильевич;Мужчина;Базовый;1970-02-03;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.06.2020;Мультиварка с 40 режимами готовки еды;Разумный дом;Техника для дома;Кухонная;Наличные;"";3301;0;2;3301;1;1;1
2016-956857;5qp7O;prd-28;sp-18;2020;03.10.2020;27.09.2020;01.09.2020;03.10.2020 08:38:00;27.09.2020 13:03:00;[55.735887486,37.806671105];ВАО;Вешняки;Доставка;Багиров Эдуард Исмаилович;Мужчина;Базовый;1993-05-17;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.09.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;5.815972222222222;2087;0;2;2087;1;1;1
2016-623648;4BTGd;prd-26;sp-18;2020;09.01.1974;11.04.2020;01.04.2020;09.01.1974 06:08:00;11.04.2020 18:23:00;[55.734089297,37.705408179];ЮВАО;Нижегородский;Самовывоз;Фроленков Александр Михайлович;Мужчина;Базовый;1986-06-02;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.04.2020;Скатерть кухонная темно-синяя ;Ростовская фабрика;Бытовые товары;Кухонные товары;Банковская карта;"";314;0;3;314;1;1;1
2016-884765;hd0dt;prd-25;sp-15;2020;09.01.1974;11.11.2020;01.11.2020;09.01.1974 06:08:00;11.11.2020 19:48:00;[55.837781233,37.635510608];СВАО;Ростокино;Самовывоз;Семенова Светлана Юрьевна;Женщина;Золотой;1978-01-09;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.11.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";3657;0;3;3657;1;1;1
2016-019434;RWC4Q;prd-28;sp-15;2020;09.01.1974;02.06.2020;01.06.2020;09.01.1974 06:08:00;02.06.2020 20:42:00;[55.808974023,37.640538929];СВАО;Алексеевский;Самовывоз;Якубов Сергей Сергеевич;Мужчина;Базовый;1982-10-14;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.06.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";2080;0;2;2080;1;1;1
2016-315576;q67HP;prd-14;sp-17;2020;09.01.1974;19.10.2020;01.10.2020;09.01.1974 06:08:00;19.10.2020 21:05:00;[55.633787466,37.742525843];ЮАО;Братеево;Самовывоз;Чеконов Александр Дмитриевич;Мужчина;Базовый;1991-02-15;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.10.2020;Средство для мытья посуды с ароматом лимона;Мойдодыр;Бытовая химия;Моющие средства;Наличные;"";354;0;5;354;1;1;1
2016-779014;rjRBE;prd-24;sp-18;2020;09.01.1974;28.07.2020;01.07.2020;09.01.1974 06:08:00;28.07.2020 11:17:00;[55.711557694,37.805194165];ЮВАО;Выхино-Жулебино;Самовывоз;Демичева Ольга Юрьевна;Женщина;Базовый;1975-02-20;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.07.2020;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";2510;0;3;2510;1;1;1
2016-109186;8qIsr;prd-12;sp-21;2020;29.08.2020;19.08.2020;01.08.2020;29.08.2020 06:39:00;19.08.2020 13:43:00;[55.76468636,37.491291908];ЗАО;Филёвский Парк;Доставка;Настаев Алисолтан Магамедович;Мужчина;Базовый;1971-08-04;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.08.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;9.705555555555556;477;0;2;477;1;1;1
2016-317385;0XcLC;prd-36;sp-22;2020;09.01.1974;22.07.2020;01.07.2020;09.01.1974 06:08:00;22.07.2020 19:08:00;[55.645099346,37.483482446];ЮЗАО;Тёплый Стан;Самовывоз;Мисанова Ирина Николаевна;Женщина;Серебряный;1988-01-08;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.07.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Наличные;"";521;0;1;521;1;1;1
2016-750416;vVeIZ;prd-15;sp-21;2020;30.05.2020;24.05.2020;01.05.2020;30.05.2020 06:06:00;24.05.2020 11:13:00;[55.73902034,37.499486784];ЗАО;Филёвский Парк;Доставка;Балабуткин Алексей Алексеевич;Мужчина;Серебряный;1970-06-01;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.05.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Наличные;5.7868055555555555;137;0;4;137;1;1;1
2016-212317;v0aPf;prd-32;sp-11;2020;09.01.1974;11.04.2020;01.04.2020;09.01.1974 06:08:00;11.04.2020 22:31:00;[55.858679664,37.569569852];САО;Восточное Дегунино;Самовывоз;Бабенко Андрей Сергеевич;Мужчина;Базовый;1991-02-13;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.04.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1437;0;1;1437;1;1;1
2016-196930;FYMpW;prd-38;sp-21;2020;09.01.1974;15.10.2020;01.10.2020;09.01.1974 06:08:00;15.10.2020 22:43:00;[55.679002331,37.737069569];ЮВАО;Люблино;Самовывоз;Дроздова Надежда Ефимовна;Женщина;Базовый;1993-04-02;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.10.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Наличные;"";5750;0;1;5750;1;1;1
2016-816664;cVGbk;prd-36;sp-17;2020;09.01.1974;27.11.2020;01.11.2020;09.01.1974 06:08:00;27.11.2020 15:28:00;[55.629975617,37.675210243];ЮАО;Царицыно;Самовывоз;Доценко Елена Юрьевна;Женщина;Серебряный;1984-07-11;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Наличные;"";516;0;3;516;1;1;1
2016-753042;Clrra;prd-31;sp-18;2020;09.01.1974;30.06.2020;01.06.2020;09.01.1974 06:08:00;30.06.2020 16:17:00;[55.733942819,37.705754614];ЮВАО;Нижегородский;Самовывоз;Кухальская Ксения Александровна;Женщина;Серебряный;1975-07-10;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.06.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1023;0;2;1023;1;1;1
2016-457907;PJLDL;prd-33;sp-20;2020;09.01.1974;19.10.2020;01.10.2020;09.01.1974 06:08:00;19.10.2020 18:52:00;[55.79371127,37.486107225];СЗАО;Щукино;Самовывоз;Еремин Михаил Александрович;Мужчина;Базовый;1975-08-17;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.10.2020;Мультиварка с 40 режимами готовки еды;Разумный дом;Техника для дома;Кухонная;Наличные;"";3303;0;3;3303;1;1;1
2016-599119;NCFaz;prd-25;sp-14;2020;09.01.1974;21.05.2020;01.05.2020;09.01.1974 06:08:00;21.05.2020 11:44:00;[55.772610436,37.586586024];ЦАО;Пресненский;Самовывоз;Ли Александр Георгиевич;Мужчина;Серебряный;1993-07-31;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.05.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Банковская карта;"";3604;0;2;3604;1;1;1
2016-415983;Uft89;prd-22;sp-21;2020;07.09.2020;29.08.2020;01.08.2020;07.09.2020 08:25:00;29.08.2020 16:49:00;[55.806201195,37.455761828];СЗАО;Щукино;Доставка;Локтикова Наталья Васильевна;Женщина;Серебряный;1970-09-13;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.08.2020;Зубная паста отбеливающая;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;8.65;82;0;1;82;1;1;1
2016-152790;Y3Xhi;prd-31;sp-14;2020;09.01.1974;18.11.2020;01.11.2020;09.01.1974 06:08:00;18.11.2020 12:08:00;[55.708939148,37.643230447];ЮАО;Даниловский;Самовывоз;Габдрахманов Марсель Маликович;Мужчина;Базовый;1970-11-06;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1029;0;2;1029;1;1;1
2016-288054;b6Eiy;prd-25;sp-14;2020;09.01.1974;05.11.2020;01.11.2020;09.01.1974 06:08:00;05.11.2020 14:36:00;[55.787631511,37.572873975];САО;Беговой;Самовывоз;Крель Анна Анатольевна;Женщина;Базовый;1988-08-20;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";3610;0;3;3610;1;1;1
2016-965764;4cSI5;prd-31;sp-18;2020;09.01.1974;10.08.2020;01.08.2020;09.01.1974 06:08:00;10.08.2020 21:37:00;[55.713147412,37.784561967];ЮВАО;Рязанский;Самовывоз;Фёдоров Игорь Николаевич;Мужчина;Золотой;1970-02-06;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.08.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1027;0;4;1027;1;1;1
2016-603569;py8CO;prd-40;sp-15;2020;09.01.1974;01.06.2020;01.06.2020;09.01.1974 06:08:00;01.06.2020 15:39:00;[55.885641005,37.593456199];СВАО;Алтуфьевский;Самовывоз;Буторина Лидия Игнатьевна;Женщина;Серебряный;1977-07-16;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.06.2020;Зубная щетка электрическая;Разумный дом;Техника для дома;Техника для красоты и здоровья;Наличные;"";739;0;5;739;1;1;1
2016-949166;b9iRn;prd-31;sp-14;2020;09.01.1974;30.04.2020;01.04.2020;09.01.1974 06:08:00;30.04.2020 14:35:00;[55.771529317,37.576839491];ЦАО;Пресненский;Самовывоз;Коджаков Олег Юнусович;Мужчина;Базовый;1978-08-16;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.04.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1018;0;3;1018;1;1;1
2016-206365;OMQSX;prd-12;sp-14;2020;09.01.1974;04.09.2020;01.09.2020;09.01.1974 06:08:00;04.09.2020 20:57:00;[55.76394192,37.585480095];ЦАО;Пресненский;Самовывоз;Злобин Николай Викторович;Мужчина;Базовый;1993-07-27;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.09.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;"";476;0;3;476;1;1;1
2016-441142;nJm4Y;prd-38;sp-17;2020;09.01.1974;22.11.2020;01.11.2020;09.01.1974 06:08:00;22.11.2020 11:15:00;[55.65428756,37.704733883];ЮВАО;Печатники;Самовывоз;Нетесанов Сергей Дмитриевич;Мужчина;Серебряный;1977-02-19;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Наличные;"";5723;0;4;5723;1;1;1
2016-733033;VXWHn;prd-33;sp-17;2020;09.01.1974;18.09.2020;01.09.2020;09.01.1974 06:08:00;18.09.2020 14:31:00;[55.645737848,37.740355031];ЮВАО;Марьино;Самовывоз;Иваницкий Сергей Петрович;Мужчина;Серебряный;1989-03-04;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.09.2020;Мультиварка с 40 режимами готовки еды;Разумный дом;Техника для дома;Кухонная;Банковская карта;"";3336;0;2;3336;1;1;1
2016-897778;vmiQp;prd-13;sp-23;2020;09.01.1974;05.05.2020;01.05.2020;09.01.1974 06:08:00;05.05.2020 15:45:00;[55.78161873,37.664587413];ЦАО;Красносельский;Самовывоз;Колобродов Юрий Викторович;Мужчина;Серебряный;1977-04-25;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.05.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";471;0;3;471;1;1;1
2016-034157;wAPtw;prd-35;sp-11;2020;09.01.1974;28.08.2020;01.08.2020;09.01.1974 06:08:00;28.08.2020 14:53:00;[55.836818035,37.452319415];СЗАО;Южное Тушино;Самовывоз;Кузнецов Анатолий Михайлович;Мужчина;Серебряный;1973-04-21;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.08.2020;Электрический чайник;Разумный дом;Техника для дома;Кухонная;Наличные;"";1241;0;3;1241;1;1;1
2016-437674;VrRmz;prd-32;sp-21;2020;09.01.1974;30.09.2020;01.09.2020;09.01.1974 06:08:00;30.09.2020 19:59:00;[55.730821939,37.532949308];ЗАО;Раменки;Самовывоз;Евланов Владимир Лазаревич;Мужчина;Серебряный;1995-01-30;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.09.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1434;0;4;1434;1;1;1
2016-297505;srykL;prd-28;sp-22;2020;15.07.2020;07.07.2020;01.07.2020;15.07.2020 18:14:00;07.07.2020 23:37:00;[55.658370238,37.539119676];ЮЗАО;Обручевский;Доставка;Ашифин Константин Григорьевич;Мужчина;Серебряный;1981-08-08;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.07.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;7.7756944444444445;2084;0;4;2084;1;1;1
2016-084560;eBEtE;prd-36;sp-14;2020;09.01.1974;12.09.2020;01.09.2020;09.01.1974 06:08:00;12.09.2020 12:04:00;[55.76394192,37.585480095];ЦАО;Пресненский;Самовывоз;Алейников Валерий Вячеславович;Мужчина;Базовый;1980-09-04;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.09.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";516;0;4;516;1;1;1
2016-088922;n7wZz;prd-28;sp-11;2020;14.07.2020;08.07.2020;01.07.2020;14.07.2020 18:54:00;08.07.2020 18:57:00;[55.881651636,37.572932586];СВАО;Алтуфьевский;Доставка;Наумов Александр Анатольевич;Мужчина;Базовый;1992-01-24;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.07.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;5.997916666666667;2064;0;2;2064;1;1;1
2016-529371;HURQC;prd-21;sp-23;2020;09.01.1974;23.07.2020;01.07.2020;09.01.1974 06:08:00;23.07.2020 13:30:00;[55.766120363,37.662883846];ЦАО;Басманный;Самовывоз;Удовенко Антон Сергеевич;Мужчина;Базовый;1981-12-07;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.07.2020;Зубной порошок;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";62;0;3;62;1;1;1
2016-377725;66xTy;prd-30;sp-16;2020;15.09.2020;09.09.2020;01.09.2020;15.09.2020 21:52:00;09.09.2020 20:12:00;[55.635827114,37.610920901];ЮАО;Чертаново Северное;Доставка;Величко Дмитрий Алексеевич;Мужчина;Серебряный;1977-10-19;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.09.2020;Прикроватный коврик;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;6.069444444444445;840;0;2;840;1;1;1
2016-000803;59HO5;prd-15;sp-17;2020;09.01.1974;01.09.2020;01.09.2020;09.01.1974 06:08:00;01.09.2020 15:05:00;[55.604314396,37.728609477];ЮАО;Орехово-Борисово Южное;Самовывоз;Вальтер Борис Александрович;Мужчина;Базовый;1986-05-08;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.09.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Наличные;"";135;0;2;135;1;1;1
